nombre_obra,arquitecto,año_construccion,latitud,longitud,importancia,id,añadido_por,categoria,visitable,foto_url,enlace_url,estado_acceso
"Aeropuerto de Sondica, Bilbao",Santiago Calatrava,2000,43.305223,-2.906047,1,AV001,AV,Arquitectura,true,https://arquitecturaviva.com/assets/img/av_imagen.webp,https://arquitecturaviva.com/obras/aeropuerto-de-sondica,exterior_visible
"Museo de las Ciencias, Valencia",Santiago Calatrava,2000,39.455705,-0.351779,1,AV002,AV,Arquitectura,true,https://arquitecturaviva.com/assets/img/av_imagen.webp,https://arquitecturaviva.com/obras/museo-de-las-ciencias,exterior_visible
"Conservatorio, Palma de Mallorca",Coll-Leclerc,2000,39.589965,2.654078,1,AV003,AV,Arquitectura,true,https://arquitecturaviva.com/assets/img/av_imagen.webp,https://arquitecturaviva.com/obras/conservatorio,exterior_visible
"Palacio de Congresos de Cataluña, Barcelona","Carlos Ferrater, Josep Maria Cartañà",2000,41.383044,2.10941,1,AV004,AV,Arquitectura,true,https://arquitecturaviva.com/assets/img/av_imagen.webp,https://arquitecturaviva.com/obras/palacio-de-congresos,exterior_visible
"Museo de la Ilustración, Valencia",Guillermo Vázquez Consuegra,2000,39.469681,-0.381406,1,AV005,AV,Arquitectura,true,https://arquitecturaviva.com/assets/img/av_imagen.webp,https://arquitecturaviva.com/obras/museo-de-la-ilustracion,exterior_visible
"Centro de visitantes, Almonte",Cruz y Ortiz Arquitectos,1999 - 2000,37.015371,-6.57054,1,AV006,AV,Arquitectura,true,https://arquitecturaviva.com/assets/img/av_imagen.webp,https://arquitecturaviva.com/obras/centro-de-visitantes,exterior_visible
"Museo de Altamira, Santillana",Juan Navarro Baldeweg,2000,43.376336588825,-4.1242863779752,1,AV007,AV,Arquitectura,true,https://arquitecturaviva.com/assets/img/av_imagen.webp,https://arquitecturaviva.com/obras/museo-de-altamira,exterior_visible
"Capilla, Almadén",Sancho-Madridejos,2000,38.772089,-4.812984,1,AV008,AV,Arquitectura,true,https://arquitecturaviva.com/assets/img/av_imagen.webp,https://arquitecturaviva.com/obras/capilla,exterior_visible
"Iglesia, Valdemaqueda",José Ignacio Linazasoro,2000,40.512131,-4.296262,1,AV009,AV,Arquitectura,true,https://arquitecturaviva.com/assets/img/av_imagen.webp,https://arquitecturaviva.com/obras/iglesia,exterior_visible
"Cubrición de ruinas, Almenara",Roberto Valle,2000,41.193991,-4.668754,1,AV010,AV,Arquitectura,true,https://arquitecturaviva.com/assets/img/av_imagen.webp,https://arquitecturaviva.com/obras/cubricion-de-ruinas,exterior_visible
